Time Stamp(ms), roll(deg), pitch(deg), yaw(deg)
12352, 0.01295083, 0.00954957, -7.106907
13354, 0.01200148, 0.001743866, -7.023221
14359, 0.01205548, 0.001845272, -7.00437
15360, 0.01064133, -0.001751052, -7.003154
16364, 0.01470011, 0.00220677, -6.99263
17368, 0.01631022, 0.004626122, -7.002922
18371, 0.01533874, -0.0004149905, -7.004037
19375, 0.01564683, 0.004593238, -6.999695
20379, 0.01633077, 0.005018151, -7.004395
21381, 0.01507069, 0.005318812, -7.001807
22381, 0.01718884, -0.0001637544, -6.999132
23381, 0.03058448, 0.01449614, -6.964696
24382, 0.04290642, 0.02681767, -6.941077
25386, 0.05316017, 0.03787309, -6.924608
26391, 0.06265872, 0.04730977, -6.915554
27391, 0.07141432, 0.05592167, -6.910705
28391, 0.07804823, 0.06251566, -6.915207
29391, 0.0834357, 0.06767619, -6.92468
30391, 0.08815176, 0.07315178, -6.933519
31395, 0.09349355, 0.07810778, -6.942055
32400, 0.09838814, 0.08327717, -6.95206
33403, 0.1014659, 0.08711078, -6.966504
34407, 0.1027192, 0.08852082, -6.988719
35407, 0.1045183, 0.09035176, -7.007344
36407, 0.1068813, 0.09128437, -7.023092
37409, 0.1085975, 0.09499088, -7.036325
38410, 0.11096, 0.09796187, -7.050803
39411, 0.1107184, 0.09696013, -7.073142
40412, 0.1109181, 0.09740357, -7.090948
41413, 0.111182, 0.09865188, -7.104726
42416, 0.06898492, -0.01374727, -5.115101
43417, 0.08196808, -0.01106664, -5.174051
44418, 0.0916357, -0.008691938, -5.233085
45420, 0.09444667, -0.005050002, -5.289579
46420, 0.08911274, 0.00329083, -5.342055
47422, 0.07891877, 0.002671296, -5.390471
48422, 0.06991918, 0.01234111, -5.432795
49426, 0.06689867, 0.01260404, -5.473173
50429, 0.06565046, 0.02181825, -5.509193
51432, 0.06602826, 0.02094988, -5.544935
52437, 0.0665208, 0.02914225, -5.577982
53439, 0.06755305, 0.02989926, -5.610669
54441, 0.06719957, 0.03434453, -5.641174
